batch_size,num_workers,shuffle,pin_memory,use_gpu,total_time,data_load_time_avg,data_load_time_count,DM_run_time_avg,DM_run_time_count
16,2,True,True,True,40.500694036483765,0.022859457778930663,625,0.04194165267944336,625
16,2,True,True,False,138.18821954727173,0.001486743927001953,625,0.2196144073486328,625
16,2,True,False,True,45.12370038032532,0.025059136962890624,625,0.04713878364562988,625
16,2,True,False,False,145.19738507270813,0.006071154022216797,625,0.2262446620941162,625
16,4,True,True,True,33.432828187942505,0.0007488105773925781,625,0.05274371452331543,625
16,4,True,True,False,154.04179286956787,0.0007285331726074219,625,0.24573833541870116,625
16,4,True,False,True,35.403369188308716,0.003239337158203125,625,0.05340605354309082,625
16,4,True,False,False,150.797349691391,0.005071106338500977,625,0.2362046531677246,625
16,8,True,True,True,31.97406792640686,0.0009474700927734375,625,0.050211038589477536,625
16,8,True,True,False,150.5096399784088,0.0009992862701416016,625,0.2398161376953125,625
16,8,True,False,True,33.97952914237976,0.0033654052734375,625,0.051001841354370116,625
16,8,True,False,False,146.90027117729187,0.005391523742675782,625,0.2296489101409912,625
32,0,True,True,True,107.31702923774719,0.26177357180050004,313,0.08109233630731845,313
32,0,True,True,False,183.52627539634705,0.3336754066113847,313,0.2526705211724717,313
32,0,True,False,True,103.93680214881897,0.2525046854354322,313,0.07956177510392552,313
32,0,True,False,False,181.6719799041748,0.3307090978652905,313,0.2497125631704117,313
32,1,True,True,True,79.58726859092712,0.17460838064979822,313,0.07966404296338749,313
32,1,True,True,False,171.89721822738647,0.12037704546992391,313,0.4288153450329083,313
32,1,True,False,True,78.65485858917236,0.16852508185389706,313,0.08276839606678144,313
32,1,True,False,False,177.06221055984497,0.13615862630045833,313,0.4295353371495256,313
32,2,True,True,True,40.0073459148407,0.04467075853682936,313,0.08314823799620802,313
32,2,True,True,False,140.45110321044922,0.003920514743548993,313,0.44480505461890857,313
32,2,True,False,True,41.02895188331604,0.04318852165636544,313,0.08789439170886153,313
32,2,True,False,False,149.40212655067444,0.006696531186088587,313,0.4706265568352355,313
32,4,True,True,True,32.72921299934387,0.0015181344918930493,313,0.10304804122486054,313
32,4,True,True,False,140.98446321487427,0.001887981884014873,313,0.44854161305168566,313
32,4,True,False,True,35.64608979225159,0.004206249889093466,313,0.1096790210126688,313
32,4,True,False,False,155.16442108154297,0.00638886762503237,313,0.4893441070763829,313
32,8,True,True,True,32.04155397415161,0.0023735529317642553,313,0.09999562909427923,313
32,8,True,True,False,150.76441526412964,0.0024022896068926435,313,0.4792731585213171,313
32,8,True,False,True,32.595263957977295,0.004838698207379911,313,0.09929952530053476,313
32,8,True,False,False,157.75930953025818,0.006751308045067345,313,0.49727204508674794,313
